_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
92,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.122,2016-09-30T00:00:00,0.5,-0.38
93,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.41,2016-12-31T00:00:00,5,2.41
94,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.238,2016-12-31T00:00:00,0.4,-0.16
95,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.259,2016-12-31T00:00:00,0.2,0.06
96,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.125,2016-12-31T00:00:00,0.5,-0.38
97,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,5.87,2017-03-31T00:00:00,5,0.87
98,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.189,2017-03-31T00:00:00,0.4,-0.21
99,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.211,2017-03-31T00:00:00,0.2,0.01
100,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.08,2017-03-31T00:00:00,0.5,-0.42
101,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.03,2017-06-30T00:00:00,5,2.03
102,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.278,2017-06-30T00:00:00,0.4,-0.12
103,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.26,2017-06-30T00:00:00,0.2,0.06
104,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.147,2017-06-30T00:00:00,0.5,-0.35
105,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.02,2017-09-30T00:00:00,5,3.02
106,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.232,2017-09-30T00:00:00,0.4,-0.17
107,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.248,2017-09-30T00:00:00,0.2,0.05
108,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.149,2017-09-30T00:00:00,0.5,-0.35
109,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.84,2017-12-31T00:00:00,5,2.84
110,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.273,2017-12-31T00:00:00,0.4,-0.13
111,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.285,2017-12-31T00:00:00,0.2,0.09
112,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.165,2017-12-31T00:00:00,0.5,-0.34
113,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,5.41,2018-03-31T00:00:00,5,0.41
114,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.189,2018-03-31T00:00:00,0.4,-0.21
115,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.206,2018-03-31T00:00:00,0.2,0.01
116,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.094,2018-03-31T00:00:00,0.5,-0.41
117,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,6.29,2018-06-30T00:00:00,5,1.29
118,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.196,2018-06-30T00:00:00,0.4,-0.2
119,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.222,2018-06-30T00:00:00,0.2,0.02
120,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.121,2018-06-30T00:00:00,0.5,-0.38
121,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.9,2018-09-30T00:00:00,5,2.9
122,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.267,2018-09-30T00:00:00,0.4,-0.13
123,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.275,2018-09-30T00:00:00,0.2,0.08
124,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.154,2018-09-30T00:00:00,0.5,-0.35
125,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.96,2018-12-31T00:00:00,5,3.96
126,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.258,2018-12-31T00:00:00,0.4,-0.14
127,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.266,2018-12-31T00:00:00,0.2,0.07
128,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.148,2018-12-31T00:00:00,0.5,-0.35
129,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,6.02,2019-03-31T00:00:00,5,1.02
130,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.196,2019-03-31T00:00:00,0.4,-0.2
